id,component_id,quantity,order_date,unit_price_usd,total_cost_usd,shipping_status
91,8,50,2025-12-27 00:00:00,450.00,22500.00,Delivered
92,2,500,2025-11-14 00:00:00,6800.00,3400000.00,Delivered
93,9,100,2025-10-16 00:00:00,250.00,25000.00,Delivered
94,2,50,2025-03-11 00:00:00,6800.00,340000.00,Delivered
95,8,500,2025-11-20 00:00:00,450.00,225000.00,Shipped
96,11,50,2025-10-28 00:00:00,800.00,40000.00,Delivered
97,4,100,2025-01-03 00:00:00,2400.00,240000.00,Delivered
98,9,500,2025-05-03 00:00:00,250.00,125000.00,Shipped
99,1,250,2025-11-15 00:00:00,8500.00,2125000.00,Delivered
100,4,500,2026-02-28 00:00:00,2400.00,1200000.00,Shipped
101,6,50,2025-02-20 00:00:00,3900.00,195000.00,Pending
102,6,500,2025-04-28 00:00:00,3900.00,1950000.00,Delivered
103,2,1000,2025-09-10 00:00:00,6800.00,6800000.00,Pending
104,8,100,2025-10-21 00:00:00,450.00,45000.00,Shipped
105,14,100,2025-07-02 00:00:00,380.00,38000.00,Shipped
106,1,250,2025-10-09 00:00:00,8500.00,2125000.00,Shipped
107,8,1000,2025-10-20 00:00:00,450.00,450000.00,Delivered
108,6,500,2025-03-12 00:00:00,3900.00,1950000.00,Delivered
109,7,1000,2025-06-14 00:00:00,1200.00,1200000.00,Shipped
110,12,100,2025-08-24 00:00:00,1500.00,150000.00,Delivered
111,4,1000,2025-02-20 00:00:00,2400.00,2400000.00,Delivered
112,11,100,2026-01-05 00:00:00,800.00,80000.00,Pending
113,13,250,2025-11-07 00:00:00,2200.00,550000.00,Shipped
114,13,250,2025-07-10 00:00:00,2200.00,550000.00,Shipped
115,9,500,2025-06-25 00:00:00,250.00,125000.00,Delivered
116,2,100,2025-08-30 00:00:00,6800.00,680000.00,Pending
117,9,500,2025-08-28 00:00:00,250.00,125000.00,Pending
118,12,1000,2025-10-22 00:00:00,1500.00,1500000.00,Shipped
119,10,500,2025-07-10 00:00:00,180.00,90000.00,Pending
120,14,250,2025-12-09 00:00:00,380.00,95000.00,Shipped
121,2,50,2025-04-30 00:00:00,6800.00,340000.00,Shipped
122,9,1000,2025-07-20 00:00:00,250.00,250000.00,Delivered
123,5,1000,2025-01-16 00:00:00,2800.00,2800000.00,Shipped
124,5,500,2026-02-02 00:00:00,2800.00,1400000.00,Shipped
125,9,500,2026-01-06 00:00:00,250.00,125000.00,Delivered
126,1,100,2025-06-24 00:00:00,8500.00,850000.00,Pending
127,9,50,2026-02-11 00:00:00,250.00,12500.00,Delivered
128,6,1000,2025-09-10 00:00:00,3900.00,3900000.00,Pending
129,4,1000,2025-06-23 00:00:00,2400.00,2400000.00,Delivered
130,7,500,2025-08-12 00:00:00,1200.00,600000.00,Shipped
131,8,250,2025-01-21 00:00:00,450.00,112500.00,Pending
132,4,50,2025-08-19 00:00:00,2400.00,120000.00,Delivered
133,9,50,2026-03-11 00:00:00,250.00,12500.00,Delivered
134,12,50,2025-03-15 00:00:00,1500.00,75000.00,Delivered
135,12,500,2025-01-02 00:00:00,1500.00,750000.00,Pending
136,7,50,2025-07-16 00:00:00,1200.00,60000.00,Pending
137,7,250,2025-01-17 00:00:00,1200.00,300000.00,Shipped
138,4,100,2025-08-11 00:00:00,2400.00,240000.00,Shipped
139,5,500,2026-01-31 00:00:00,2800.00,1400000.00,Delivered
140,5,100,2025-04-05 00:00:00,2800.00,280000.00,Delivered
141,3,50,2025-12-08 00:00:00,4900.00,245000.00,Shipped
142,2,50,2026-01-01 00:00:00,6800.00,340000.00,Delivered
143,14,1000,2025-08-31 00:00:00,380.00,380000.00,Pending
144,5,250,2025-11-18 00:00:00,2800.00,700000.00,Delivered
145,14,500,2026-03-20 00:00:00,380.00,190000.00,Delivered
146,4,100,2025-12-14 00:00:00,2400.00,240000.00,Delivered
147,2,500,2025-11-01 00:00:00,6800.00,3400000.00,Shipped
148,2,100,2025-01-12 00:00:00,6800.00,680000.00,Shipped
149,11,1000,2025-05-08 00:00:00,800.00,800000.00,Shipped
150,14,250,2026-03-06 00:00:00,380.00,95000.00,Delivered
151,3,250,2025-02-16 00:00:00,4900.00,1225000.00,Shipped
152,12,500,2025-04-01 00:00:00,1500.00,750000.00,Delivered
153,4,1000,2025-09-14 00:00:00,2400.00,2400000.00,Delivered
154,13,250,2025-06-26 00:00:00,2200.00,550000.00,Shipped
155,12,50,2025-11-03 00:00:00,1500.00,75000.00,Pending
156,1,1000,2026-01-01 00:00:00,8500.00,8500000.00,Shipped
157,9,100,2025-10-22 00:00:00,250.00,25000.00,Shipped
158,11,50,2026-03-10 00:00:00,800.00,40000.00,Delivered
159,4,50,2025-05-03 00:00:00,2400.00,120000.00,Pending
160,12,50,2025-05-17 00:00:00,1500.00,75000.00,Shipped
161,12,1000,2025-10-01 00:00:00,1500.00,1500000.00,Delivered
162,10,500,2025-04-24 00:00:00,180.00,90000.00,Pending
163,12,250,2025-12-04 00:00:00,1500.00,375000.00,Shipped
164,11,1000,2025-09-14 00:00:00,800.00,800000.00,Pending
165,6,250,2025-09-07 00:00:00,3900.00,975000.00,Pending
166,12,1000,2025-07-28 00:00:00,1500.00,1500000.00,Pending
167,6,250,2025-09-14 00:00:00,3900.00,975000.00,Pending
168,13,100,2025-09-02 00:00:00,2200.00,220000.00,Pending
169,12,250,2025-07-26 00:00:00,1500.00,375000.00,Pending
170,10,1000,2025-04-29 00:00:00,180.00,180000.00,Shipped
171,11,500,2025-01-02 00:00:00,800.00,400000.00,Pending
172,4,50,2025-12-19 00:00:00,2400.00,120000.00,Delivered
173,13,1000,2025-03-03 00:00:00,2200.00,2200000.00,Pending
174,5,250,2025-07-07 00:00:00,2800.00,700000.00,Shipped
175,1,500,2025-06-26 00:00:00,8500.00,4250000.00,Pending
176,2,1000,2025-03-01 00:00:00,6800.00,6800000.00,Delivered
177,2,250,2025-11-30 00:00:00,6800.00,1700000.00,Pending
178,14,500,2026-02-09 00:00:00,380.00,190000.00,Delivered
179,8,250,2025-11-02 00:00:00,450.00,112500.00,Delivered
180,12,50,2026-01-17 00:00:00,1500.00,75000.00,Pending
181,1,1000,2025-10-04 00:00:00,8500.00,8500000.00,Delivered
182,4,50,2025-10-23 00:00:00,2400.00,120000.00,Shipped
183,4,50,2025-01-29 00:00:00,2400.00,120000.00,Shipped
184,12,1000,2026-03-03 00:00:00,1500.00,1500000.00,Pending
185,10,500,2025-10-05 00:00:00,180.00,90000.00,Delivered
186,3,50,2025-10-21 00:00:00,4900.00,245000.00,Delivered
187,12,50,2025-08-16 00:00:00,1500.00,75000.00,Delivered
188,5,250,2025-03-09 00:00:00,2800.00,700000.00,Pending
189,5,50,2025-12-15 00:00:00,2800.00,140000.00,Shipped
190,2,100,2025-04-20 00:00:00,6800.00,680000.00,Pending
191,6,50,2025-08-12 00:00:00,3900.00,195000.00,Delivered
192,9,500,2025-04-22 00:00:00,250.00,125000.00,Pending
193,9,50,2025-05-09 00:00:00,250.00,12500.00,Pending
194,12,50,2025-05-04 00:00:00,1500.00,75000.00,Delivered
195,6,250,2026-02-26 00:00:00,3900.00,975000.00,Shipped
196,1,1000,2025-04-19 00:00:00,8500.00,8500000.00,Pending
197,2,500,2026-01-02 00:00:00,6800.00,3400000.00,Shipped
198,3,250,2025-03-09 00:00:00,4900.00,1225000.00,Delivered
199,13,50,2025-08-23 00:00:00,2200.00,110000.00,Shipped
200,7,50,2025-11-02 00:00:00,1200.00,60000.00,Shipped
201,7,1000,2025-03-21 00:00:00,1200.00,1200000.00,Delivered
202,11,500,2025-07-12 00:00:00,800.00,400000.00,Delivered
203,12,500,2025-05-11 00:00:00,1500.00,750000.00,Delivered
204,11,500,2026-03-02 00:00:00,800.00,400000.00,Pending
205,5,50,2026-01-10 00:00:00,2800.00,140000.00,Shipped
206,3,50,2025-12-02 00:00:00,4900.00,245000.00,Delivered
207,11,50,2025-08-22 00:00:00,800.00,40000.00,Pending
208,7,100,2025-08-06 00:00:00,1200.00,120000.00,Shipped
209,10,100,2025-08-21 00:00:00,180.00,18000.00,Delivered
210,3,1000,2026-01-18 00:00:00,4900.00,4900000.00,Delivered
211,12,50,2026-02-02 00:00:00,1500.00,75000.00,Delivered
212,2,50,2026-03-05 00:00:00,6800.00,340000.00,Shipped
213,4,50,2026-01-20 00:00:00,2400.00,120000.00,Delivered
214,10,1000,2025-06-29 00:00:00,180.00,180000.00,Delivered
215,12,250,2026-01-08 00:00:00,1500.00,375000.00,Delivered
216,11,1000,2026-03-24 00:00:00,800.00,800000.00,Shipped
217,6,100,2026-03-06 00:00:00,3900.00,390000.00,Delivered
218,10,500,2025-02-21 00:00:00,180.00,90000.00,Shipped
219,2,100,2025-06-05 00:00:00,6800.00,680000.00,Delivered
220,6,50,2025-08-05 00:00:00,3900.00,195000.00,Delivered
221,2,50,2025-10-06 00:00:00,6800.00,340000.00,Pending
222,8,1000,2025-09-04 00:00:00,450.00,450000.00,Shipped
223,8,100,2025-11-27 00:00:00,450.00,45000.00,Shipped
224,2,50,2025-11-07 00:00:00,6800.00,340000.00,Shipped
225,5,100,2025-08-08 00:00:00,2800.00,280000.00,Shipped
226,10,250,2025-05-18 00:00:00,180.00,45000.00,Delivered
227,6,500,2025-02-15 00:00:00,3900.00,1950000.00,Delivered
228,14,100,2025-06-11 00:00:00,380.00,38000.00,Shipped
229,6,50,2025-12-29 00:00:00,3900.00,195000.00,Pending
230,11,1000,2025-07-17 00:00:00,800.00,800000.00,Delivered
231,13,500,2025-06-04 00:00:00,2200.00,1100000.00,Pending
232,14,500,2025-08-04 00:00:00,380.00,190000.00,Pending
233,14,50,2025-06-26 00:00:00,380.00,19000.00,Delivered
234,8,50,2025-03-08 00:00:00,450.00,22500.00,Delivered
235,10,500,2026-01-05 00:00:00,180.00,90000.00,Shipped
236,9,100,2025-02-16 00:00:00,250.00,25000.00,Delivered
237,2,1000,2025-05-12 00:00:00,6800.00,6800000.00,Delivered
238,4,500,2025-04-01 00:00:00,2400.00,1200000.00,Delivered
239,14,1000,2025-05-02 00:00:00,380.00,380000.00,Delivered
240,5,100,2026-02-10 00:00:00,2800.00,280000.00,Shipped
241,7,50,2026-02-14 00:00:00,1200.00,60000.00,Pending
242,1,50,2025-05-08 00:00:00,8500.00,425000.00,Delivered
243,5,500,2025-07-14 00:00:00,2800.00,1400000.00,Delivered
244,6,50,2025-05-25 00:00:00,3900.00,195000.00,Delivered
245,8,1000,2025-05-15 00:00:00,450.00,450000.00,Shipped
246,14,50,2025-12-11 00:00:00,380.00,19000.00,Pending
247,4,100,2025-06-28 00:00:00,2400.00,240000.00,Pending
248,12,500,2025-04-02 00:00:00,1500.00,750000.00,Delivered
249,11,250,2025-06-21 00:00:00,800.00,200000.00,Shipped
250,4,50,2026-03-04 00:00:00,2400.00,120000.00,Pending
251,4,50,2025-08-02 00:00:00,2400.00,120000.00,Delivered
252,7,100,2025-10-25 00:00:00,1200.00,120000.00,Pending
253,5,500,2025-12-27 00:00:00,2800.00,1400000.00,Delivered
254,13,50,2025-06-02 00:00:00,2200.00,110000.00,Shipped
255,5,250,2025-07-28 00:00:00,2800.00,700000.00,Shipped
256,4,250,2025-08-11 00:00:00,2400.00,600000.00,Delivered
257,13,100,2025-05-30 00:00:00,2200.00,220000.00,Delivered
258,4,100,2025-04-05 00:00:00,2400.00,240000.00,Pending
259,6,50,2025-01-01 00:00:00,3900.00,195000.00,Delivered
260,11,1000,2025-10-26 00:00:00,800.00,800000.00,Shipped
261,7,500,2025-10-22 00:00:00,1200.00,600000.00,Delivered
262,13,50,2025-05-09 00:00:00,2200.00,110000.00,Delivered
263,1,250,2025-09-18 00:00:00,8500.00,2125000.00,Shipped
264,8,100,2025-03-13 00:00:00,450.00,45000.00,Shipped
265,10,1000,2025-11-07 00:00:00,180.00,180000.00,Delivered
266,5,100,2025-09-30 00:00:00,2800.00,280000.00,Delivered
267,6,250,2026-01-15 00:00:00,3900.00,975000.00,Shipped
268,11,1000,2025-02-26 00:00:00,800.00,800000.00,Delivered
269,12,100,2025-05-28 00:00:00,1500.00,150000.00,Delivered
270,8,100,2025-01-24 00:00:00,450.00,45000.00,Delivered
271,7,500,2025-05-25 00:00:00,1200.00,600000.00,Delivered
272,14,1000,2025-06-21 00:00:00,380.00,380000.00,Delivered
273,12,1000,2025-02-09 00:00:00,1500.00,1500000.00,Shipped
274,11,250,2025-10-03 00:00:00,800.00,200000.00,Delivered
275,11,250,2026-01-18 00:00:00,800.00,200000.00,Delivered
276,2,100,2025-08-02 00:00:00,6800.00,680000.00,Delivered
277,2,500,2025-06-30 00:00:00,6800.00,3400000.00,Delivered
278,9,1000,2025-11-04 00:00:00,250.00,250000.00,Delivered
279,13,100,2025-11-02 00:00:00,2200.00,220000.00,Pending
280,4,100,2025-02-22 00:00:00,2400.00,240000.00,Shipped
281,14,100,2025-03-01 00:00:00,380.00,38000.00,Pending
282,1,250,2025-07-14 00:00:00,8500.00,2125000.00,Delivered
283,9,250,2025-02-01 00:00:00,250.00,62500.00,Delivered
284,10,500,2026-01-23 00:00:00,180.00,90000.00,Pending
285,4,100,2025-10-28 00:00:00,2400.00,240000.00,Delivered
286,8,1000,2025-06-07 00:00:00,450.00,450000.00,Pending
287,1,50,2025-05-30 00:00:00,8500.00,425000.00,Pending
288,2,1000,2025-05-08 00:00:00,6800.00,6800000.00,Shipped
289,2,1000,2025-04-25 00:00:00,6800.00,6800000.00,Delivered
290,8,100,2025-02-05 00:00:00,450.00,45000.00,Shipped
291,6,250,2026-03-22 00:00:00,3900.00,975000.00,Pending
292,12,250,2026-03-13 00:00:00,1500.00,375000.00,Delivered
293,11,500,2025-05-16 00:00:00,800.00,400000.00,Delivered
294,1,500,2025-01-15 00:00:00,8500.00,4250000.00,Delivered
295,1,1000,2025-02-04 00:00:00,8500.00,8500000.00,Pending
296,5,50,2026-01-13 00:00:00,2800.00,140000.00,Delivered
297,8,500,2025-05-08 00:00:00,450.00,225000.00,Shipped
298,5,250,2025-11-06 00:00:00,2800.00,700000.00,Delivered
299,12,100,2026-02-27 00:00:00,1500.00,150000.00,Delivered
300,6,250,2025-12-22 00:00:00,3900.00,975000.00,Delivered
301,8,500,2025-05-04 00:00:00,450.00,225000.00,Delivered
302,14,500,2026-03-05 00:00:00,380.00,190000.00,Shipped
303,10,250,2025-01-10 00:00:00,180.00,45000.00,Shipped
304,5,100,2025-09-05 00:00:00,2800.00,280000.00,Delivered
305,4,1000,2025-06-15 00:00:00,2400.00,2400000.00,Shipped
306,14,250,2025-12-05 00:00:00,380.00,95000.00,Pending
307,3,50,2026-03-26 00:00:00,4900.00,245000.00,Pending
308,7,100,2025-04-05 00:00:00,1200.00,120000.00,Pending
309,3,1000,2025-06-12 00:00:00,4900.00,4900000.00,Shipped
310,13,250,2025-11-29 00:00:00,2200.00,550000.00,Delivered
311,10,500,2025-09-15 00:00:00,180.00,90000.00,Delivered
312,9,500,2025-02-12 00:00:00,250.00,125000.00,Delivered
313,14,100,2025-02-06 00:00:00,380.00,38000.00,Pending
314,14,500,2025-08-19 00:00:00,380.00,190000.00,Delivered
315,13,100,2025-03-16 00:00:00,2200.00,220000.00,Shipped
316,3,250,2025-05-17 00:00:00,4900.00,1225000.00,Shipped
317,4,100,2025-06-13 00:00:00,2400.00,240000.00,Pending
318,5,50,2026-03-27 00:00:00,2800.00,140000.00,Delivered
319,14,50,2026-03-25 00:00:00,380.00,19000.00,Delivered
320,2,1000,2026-03-24 00:00:00,6800.00,6800000.00,Pending
321,7,500,2025-09-06 00:00:00,1200.00,600000.00,Pending
322,6,500,2025-04-12 00:00:00,3900.00,1950000.00,Pending
323,1,50,2026-01-17 00:00:00,8500.00,425000.00,Delivered
324,3,50,2025-06-17 00:00:00,4900.00,245000.00,Delivered
325,1,500,2025-01-21 00:00:00,8500.00,4250000.00,Delivered
326,11,500,2025-01-27 00:00:00,800.00,400000.00,Pending
327,9,250,2025-07-27 00:00:00,250.00,62500.00,Delivered
328,11,500,2025-09-30 00:00:00,800.00,400000.00,Delivered
329,11,1000,2026-03-05 00:00:00,800.00,800000.00,Delivered
330,13,1000,2025-03-17 00:00:00,2200.00,2200000.00,Pending
331,6,100,2025-04-18 00:00:00,3900.00,390000.00,Shipped
332,9,100,2025-04-25 00:00:00,250.00,25000.00,Delivered
333,10,250,2025-12-22 00:00:00,180.00,45000.00,Delivered
334,11,500,2025-05-30 00:00:00,800.00,400000.00,Shipped
335,6,250,2025-09-15 00:00:00,3900.00,975000.00,Delivered
336,1,100,2025-03-19 00:00:00,8500.00,850000.00,Pending
337,10,50,2025-03-05 00:00:00,180.00,9000.00,Pending
338,14,100,2025-04-11 00:00:00,380.00,38000.00,Delivered
339,3,50,2025-06-25 00:00:00,4900.00,245000.00,Delivered
340,9,250,2026-01-20 00:00:00,250.00,62500.00,Pending
341,10,100,2025-11-12 00:00:00,180.00,18000.00,Shipped
342,11,250,2025-06-28 00:00:00,800.00,200000.00,Delivered
343,9,250,2025-03-02 00:00:00,250.00,62500.00,Shipped
344,5,50,2025-04-08 00:00:00,2800.00,140000.00,Shipped
345,4,50,2025-11-18 00:00:00,2400.00,120000.00,Shipped
346,1,500,2026-03-03 00:00:00,8500.00,4250000.00,Delivered
347,6,250,2025-01-07 00:00:00,3900.00,975000.00,Delivered
348,1,100,2025-08-22 00:00:00,8500.00,850000.00,Delivered
349,8,250,2025-08-25 00:00:00,450.00,112500.00,Delivered
350,2,500,2025-12-31 00:00:00,6800.00,3400000.00,Shipped
351,3,50,2025-05-18 00:00:00,4900.00,245000.00,Delivered
352,12,1000,2026-01-19 00:00:00,1500.00,1500000.00,Pending
353,5,100,2025-10-06 00:00:00,2800.00,280000.00,Delivered
354,13,50,2025-02-19 00:00:00,2200.00,110000.00,Delivered
355,3,1000,2025-04-13 00:00:00,4900.00,4900000.00,Shipped
356,6,500,2025-05-04 00:00:00,3900.00,1950000.00,Delivered
357,4,1000,2025-05-25 00:00:00,2400.00,2400000.00,Delivered
358,8,50,2025-02-05 00:00:00,450.00,22500.00,Pending
359,4,1000,2026-03-13 00:00:00,2400.00,2400000.00,Pending
360,6,250,2025-07-17 00:00:00,3900.00,975000.00,Delivered
361,13,50,2026-03-24 00:00:00,2200.00,110000.00,Pending
362,6,1000,2025-02-11 00:00:00,3900.00,3900000.00,Delivered
363,13,250,2026-02-12 00:00:00,2200.00,550000.00,Pending
364,3,100,2025-07-31 00:00:00,4900.00,490000.00,Delivered
365,3,250,2025-04-05 00:00:00,4900.00,1225000.00,Delivered
366,11,250,2025-11-17 00:00:00,800.00,200000.00,Shipped
367,3,100,2025-10-02 00:00:00,4900.00,490000.00,Shipped
368,9,100,2025-10-24 00:00:00,250.00,25000.00,Delivered
369,10,100,2025-07-09 00:00:00,180.00,18000.00,Pending
370,12,500,2025-07-27 00:00:00,1500.00,750000.00,Shipped
371,12,1000,2025-06-28 00:00:00,1500.00,1500000.00,Shipped
372,5,50,2025-06-02 00:00:00,2800.00,140000.00,Delivered
373,1,500,2025-06-07 00:00:00,8500.00,4250000.00,Pending
374,10,250,2025-04-11 00:00:00,180.00,45000.00,Delivered
375,7,50,2025-02-03 00:00:00,1200.00,60000.00,Delivered
376,6,500,2026-03-19 00:00:00,3900.00,1950000.00,Delivered
377,13,500,2025-08-06 00:00:00,2200.00,1100000.00,Pending
378,11,50,2026-03-01 00:00:00,800.00,40000.00,Shipped
379,12,50,2025-11-29 00:00:00,1500.00,75000.00,Shipped
380,10,250,2025-09-09 00:00:00,180.00,45000.00,Delivered
381,11,250,2025-06-20 00:00:00,800.00,200000.00,Pending
382,11,100,2025-12-09 00:00:00,800.00,80000.00,Shipped
383,8,100,2026-02-19 00:00:00,450.00,45000.00,Shipped
384,9,50,2026-01-25 00:00:00,250.00,12500.00,Delivered
385,6,50,2025-12-21 00:00:00,3900.00,195000.00,Pending
386,14,1000,2025-08-27 00:00:00,380.00,380000.00,Delivered
387,6,500,2025-10-10 00:00:00,3900.00,1950000.00,Delivered
388,9,500,2025-08-21 00:00:00,250.00,125000.00,Shipped
389,7,250,2025-01-26 00:00:00,1200.00,300000.00,Delivered
390,2,1000,2025-03-02 00:00:00,6800.00,6800000.00,Delivered
391,1,1000,2025-09-25 00:00:00,8500.00,8500000.00,Delivered
392,2,50,2025-11-26 00:00:00,6800.00,340000.00,Pending
393,7,250,2025-03-30 00:00:00,1200.00,300000.00,Shipped
394,4,1000,2025-10-21 00:00:00,2400.00,2400000.00,Pending
395,9,250,2025-06-02 00:00:00,250.00,62500.00,Pending
396,3,50,2025-12-29 00:00:00,4900.00,245000.00,Shipped
397,5,1000,2025-03-14 00:00:00,2800.00,2800000.00,Delivered
398,13,500,2025-04-08 00:00:00,2200.00,1100000.00,Delivered
399,6,1000,2026-03-14 00:00:00,3900.00,3900000.00,Pending
400,13,250,2025-09-01 00:00:00,2200.00,550000.00,Pending
401,5,500,2026-03-10 00:00:00,2800.00,1400000.00,Delivered
402,8,50,2025-04-06 00:00:00,450.00,22500.00,Delivered
403,1,100,2025-07-06 00:00:00,8500.00,850000.00,Shipped
404,5,250,2025-07-03 00:00:00,2800.00,700000.00,Delivered
405,9,500,2025-09-27 00:00:00,250.00,125000.00,Delivered
406,6,50,2026-03-06 00:00:00,3900.00,195000.00,Delivered
407,12,500,2025-06-19 00:00:00,1500.00,750000.00,Delivered
408,1,500,2025-02-09 00:00:00,8500.00,4250000.00,Pending
409,8,500,2025-12-31 00:00:00,450.00,225000.00,Delivered
410,10,100,2025-08-31 00:00:00,180.00,18000.00,Delivered
411,6,500,2025-09-01 00:00:00,3900.00,1950000.00,Shipped
