id,name,city,country,price_per_night,star_rating
57,London Sheraton,London,United Kingdom,488.37,4
56,Vancouver Grand Hyatt,Vancouver,Canada,171.84,5
27,Cancun Holiday Inn,Cancun,Mexico,256.78,2
12,Dubai Grand Hyatt,Dubai,United Arab Emirates,163.58,2
139,New York Grand Hyatt,New York,United States,508.29,4
103,Dubai Ritz-Carlton,Dubai,United Arab Emirates,518.64,3
129,Venice Sheraton,Venice,Italy,454.92,5
67,San Francisco Four Seasons,San Francisco,United States,521.43,2
113,Osaka Hilton,Osaka,Japan,409.11,4
10,London Ritz-Carlton,London,United Kingdom,468.86,5
112,Rome Sheraton,Rome,Italy,541.51,3
102,Vancouver Sheraton,Vancouver,Canada,321.12,2
21,New York Four Seasons,New York,United States,290.83,3
8,Edinburgh Sheraton,Edinburgh,United Kingdom,370.73,5
92,Los Angeles Hilton,Los Angeles,United States,216.75,5
82,Melbourne Westin,Melbourne,Australia,408.14,5
71,Melbourne Westin,Melbourne,Australia,295.27,3
148,Sydney Sheraton,Sydney,Australia,519.32,5
39,New York Marriott,New York,United States,485.05,2
33,New York Grand Hyatt,New York,United States,444.43,4
145,Toronto Four Seasons,Toronto,Canada,539.07,3
131,Munich Sheraton,Munich,Germany,293.10,4
32,Venice Hilton,Venice,Italy,496.08,5
79,Cancun Marriott,Cancun,Mexico,94.86,4
83,Cancun Holiday Inn,Cancun,Mexico,552.64,5
143,Rome Hilton,Rome,Italy,376.41,3
107,Los Angeles Westin,Los Angeles,United States,208.52,2
42,Melbourne Holiday Inn,Melbourne,Australia,335.22,4
140,Cancun Grand Hyatt,Cancun,Mexico,461.84,4
34,Venice Holiday Inn,Venice,Italy,128.36,4
7,Los Angeles Hilton,Los Angeles,United States,294.88,5
36,Rome Holiday Inn,Rome,Italy,175.05,3
73,Tokyo Hilton,Tokyo,Japan,166.79,2
111,Sydney Ritz-Carlton,Sydney,Australia,211.72,4
98,Sydney Grand Hyatt,Sydney,Australia,176.69,2
55,Los Angeles Hilton,Los Angeles,United States,155.84,3
45,Cancun Sheraton,Cancun,Mexico,284.73,3
38,Berlin Hilton,Berlin,Germany,199.19,3
87,New York Holiday Inn,New York,United States,323.98,2
85,Munich Sheraton,Munich,Germany,294.35,3
44,Nice Four Seasons,Nice,France,328.73,2
133,Nice Marriott,Nice,France,172.89,2
109,Cancun Hilton,Cancun,Mexico,325.87,4
100,Paris Hilton,Paris,France,126.90,2
128,Edinburgh Grand Hyatt,Edinburgh,United Kingdom,402.26,4
126,Tokyo Marriott,Tokyo,Japan,313.68,4
95,London Holiday Inn,London,United Kingdom,137.39,5
68,Tokyo Marriott,Tokyo,Japan,258.69,4
35,Tokyo Marriott,Tokyo,Japan,327.81,4
20,Edinburgh Ritz-Carlton,Edinburgh,United Kingdom,598.34,5
2,Berlin Hilton,Berlin,Germany,82.84,2
120,London Westin,London,United Kingdom,200.99,4
