id,vehicle_id,assembly_stage,cycle_time_mins,defect_detected,recorded_at
240,10,Drive Unit Install,100,false,2025-10-07 00:00:00
241,5,Painting,68,false,2026-04-03 00:00:00
242,6,Quality Inspection,26,false,2025-06-02 00:00:00
243,8,Welding,36,false,2025-05-30 00:00:00
244,6,Quality Inspection,51,false,2025-08-17 00:00:00
245,2,Stamping,18,false,2025-02-11 00:00:00
246,2,Welding,54,false,2025-08-18 00:00:00
247,7,Painting,116,false,2025-01-02 00:00:00
248,6,Battery Integration,45,false,2025-07-07 00:00:00
249,9,Quality Inspection,85,false,2025-11-26 00:00:00
250,1,Welding,31,false,2025-04-21 00:00:00
251,3,Quality Inspection,28,false,2025-02-26 00:00:00
252,9,Final Assembly,51,false,2025-08-04 00:00:00
253,10,Welding,107,false,2025-06-09 00:00:00
254,1,Battery Integration,22,false,2025-09-26 00:00:00
255,1,Painting,57,false,2025-07-17 00:00:00
256,3,Welding,92,false,2026-04-20 00:00:00
257,3,Drive Unit Install,88,false,2025-05-03 00:00:00
258,9,Battery Integration,75,false,2025-09-08 00:00:00
259,5,Quality Inspection,28,false,2025-09-11 00:00:00
260,6,Stamping,77,false,2026-01-31 00:00:00
261,8,Quality Inspection,57,false,2026-03-04 00:00:00
262,1,Painting,29,false,2026-04-03 00:00:00
263,1,Quality Inspection,80,false,2025-08-14 00:00:00
264,2,Painting,83,false,2025-07-27 00:00:00
265,9,Welding,99,false,2025-03-01 00:00:00
266,3,Welding,86,false,2025-08-16 00:00:00
267,10,Battery Integration,78,false,2026-04-20 00:00:00
268,4,Battery Integration,19,false,2025-10-30 00:00:00
269,11,Battery Integration,17,false,2025-02-19 00:00:00
270,10,Drive Unit Install,89,false,2025-03-31 00:00:00
271,9,Painting,111,false,2026-04-23 00:00:00
272,6,Drive Unit Install,72,false,2026-01-19 00:00:00
273,8,Drive Unit Install,114,false,2025-10-07 00:00:00
274,6,Stamping,56,false,2025-07-11 00:00:00
275,11,Drive Unit Install,67,false,2026-03-10 00:00:00
276,10,Welding,82,false,2025-04-06 00:00:00
277,2,Stamping,33,false,2025-03-22 00:00:00
278,8,Drive Unit Install,42,false,2025-01-20 00:00:00
279,8,Battery Integration,101,true,2025-09-07 00:00:00
280,8,Battery Integration,40,true,2025-02-13 00:00:00
281,4,Painting,98,false,2025-08-09 00:00:00
282,2,Final Assembly,23,false,2025-01-19 00:00:00
283,10,Battery Integration,56,false,2026-03-18 00:00:00
284,6,Painting,93,true,2025-10-06 00:00:00
285,3,Stamping,49,false,2025-04-22 00:00:00
286,3,Quality Inspection,116,false,2025-07-31 00:00:00
287,11,Welding,48,false,2026-01-22 00:00:00
288,4,Welding,99,false,2026-03-02 00:00:00
289,6,Final Assembly,106,false,2025-02-09 00:00:00
290,1,Welding,117,false,2025-06-10 00:00:00
291,7,Battery Integration,120,false,2025-12-01 00:00:00
292,11,Drive Unit Install,115,false,2025-04-06 00:00:00
293,9,Final Assembly,75,false,2026-03-21 00:00:00
294,9,Drive Unit Install,118,false,2026-03-08 00:00:00
295,2,Stamping,108,false,2025-12-16 00:00:00
296,7,Final Assembly,96,false,2025-07-31 00:00:00
297,11,Battery Integration,111,false,2025-11-05 00:00:00
298,2,Drive Unit Install,82,false,2026-01-30 00:00:00
299,5,Drive Unit Install,22,false,2025-10-28 00:00:00
300,7,Final Assembly,83,false,2025-03-06 00:00:00
301,9,Stamping,25,false,2025-08-23 00:00:00
302,1,Stamping,106,true,2025-12-26 00:00:00
303,7,Stamping,68,false,2025-05-06 00:00:00
304,10,Drive Unit Install,70,false,2025-05-08 00:00:00
305,7,Drive Unit Install,48,false,2025-10-20 00:00:00
306,8,Painting,66,false,2025-01-02 00:00:00
307,10,Welding,77,false,2025-05-26 00:00:00
308,1,Welding,36,false,2025-11-20 00:00:00
309,2,Drive Unit Install,23,true,2025-05-09 00:00:00
310,3,Quality Inspection,62,false,2026-01-05 00:00:00
311,11,Battery Integration,17,false,2025-03-02 00:00:00
312,4,Painting,42,false,2026-04-02 00:00:00
313,5,Drive Unit Install,107,false,2026-03-11 00:00:00
314,2,Drive Unit Install,81,false,2025-12-18 00:00:00
315,2,Quality Inspection,49,false,2026-04-10 00:00:00
316,2,Welding,85,false,2025-10-17 00:00:00
317,8,Painting,104,false,2025-02-17 00:00:00
318,1,Final Assembly,65,false,2025-04-19 00:00:00
319,11,Painting,19,false,2026-02-18 00:00:00
320,7,Welding,36,false,2025-09-01 00:00:00
321,3,Final Assembly,119,false,2025-09-15 00:00:00
322,2,Quality Inspection,30,false,2025-10-19 00:00:00
323,4,Painting,43,false,2025-10-30 00:00:00
324,1,Quality Inspection,72,false,2025-08-09 00:00:00
325,3,Battery Integration,98,false,2025-03-12 00:00:00
326,8,Stamping,77,false,2025-02-13 00:00:00
327,6,Welding,15,false,2025-06-06 00:00:00
328,9,Drive Unit Install,24,false,2025-10-19 00:00:00
329,8,Stamping,34,false,2025-07-23 00:00:00
330,8,Welding,88,false,2025-07-21 00:00:00
331,5,Stamping,29,false,2026-04-21 00:00:00
332,6,Drive Unit Install,40,false,2025-01-05 00:00:00
333,11,Battery Integration,116,false,2026-02-01 00:00:00
334,11,Drive Unit Install,26,false,2026-03-24 00:00:00
335,1,Quality Inspection,76,false,2025-05-25 00:00:00
336,1,Quality Inspection,95,false,2025-06-18 00:00:00
337,10,Drive Unit Install,98,false,2025-12-10 00:00:00
338,9,Stamping,89,false,2025-06-30 00:00:00
339,5,Battery Integration,19,false,2025-11-03 00:00:00
340,1,Welding,50,false,2026-01-11 00:00:00
341,8,Quality Inspection,65,false,2025-04-30 00:00:00
342,11,Drive Unit Install,17,false,2026-01-14 00:00:00
343,7,Quality Inspection,76,false,2025-10-01 00:00:00
344,7,Welding,120,true,2026-04-08 00:00:00
345,2,Painting,33,false,2026-03-06 00:00:00
346,11,Stamping,112,false,2025-11-14 00:00:00
347,5,Stamping,93,false,2025-08-04 00:00:00
348,11,Drive Unit Install,44,false,2025-12-06 00:00:00
349,1,Quality Inspection,96,false,2025-09-18 00:00:00
350,4,Battery Integration,32,false,2025-11-01 00:00:00
351,6,Welding,115,false,2025-02-12 00:00:00
352,2,Battery Integration,20,false,2025-05-21 00:00:00
353,4,Final Assembly,71,false,2025-06-10 00:00:00
354,4,Final Assembly,17,false,2026-02-20 00:00:00
355,8,Quality Inspection,111,false,2026-03-12 00:00:00
356,1,Welding,29,false,2025-07-14 00:00:00
357,7,Welding,18,false,2025-08-16 00:00:00
358,10,Battery Integration,82,false,2025-02-18 00:00:00
359,8,Painting,54,false,2025-04-17 00:00:00
360,3,Painting,96,false,2026-01-15 00:00:00
361,2,Painting,84,false,2026-04-05 00:00:00
362,6,Painting,98,false,2025-05-22 00:00:00
363,9,Battery Integration,25,false,2026-01-15 00:00:00
364,9,Stamping,26,false,2025-08-10 00:00:00
365,8,Painting,75,true,2025-05-22 00:00:00
366,11,Welding,55,false,2025-07-04 00:00:00
367,3,Welding,46,false,2026-04-16 00:00:00
368,7,Welding,80,false,2026-04-24 00:00:00
369,3,Drive Unit Install,84,false,2025-06-04 00:00:00
370,2,Quality Inspection,98,false,2025-01-07 00:00:00
371,2,Stamping,42,false,2025-01-30 00:00:00
372,10,Painting,47,false,2025-08-10 00:00:00
373,6,Drive Unit Install,87,false,2026-04-16 00:00:00
374,7,Welding,57,false,2025-06-03 00:00:00
375,4,Welding,115,false,2025-03-28 00:00:00
376,9,Welding,112,false,2025-04-29 00:00:00
377,4,Quality Inspection,42,false,2025-04-06 00:00:00
378,3,Welding,86,false,2025-09-15 00:00:00
379,2,Stamping,44,false,2025-07-14 00:00:00
380,11,Painting,37,false,2025-08-31 00:00:00
381,4,Final Assembly,83,false,2025-11-12 00:00:00
382,2,Painting,88,false,2026-01-14 00:00:00
383,9,Stamping,114,false,2025-02-24 00:00:00
384,2,Painting,47,false,2025-10-17 00:00:00
385,8,Quality Inspection,40,false,2025-06-18 00:00:00
386,3,Drive Unit Install,75,false,2025-05-25 00:00:00
387,6,Final Assembly,84,false,2025-11-09 00:00:00
388,9,Quality Inspection,36,false,2026-04-02 00:00:00
389,6,Final Assembly,69,false,2025-02-27 00:00:00
390,5,Quality Inspection,42,false,2025-05-02 00:00:00
391,1,Stamping,103,false,2025-03-03 00:00:00
392,8,Battery Integration,19,false,2025-10-25 00:00:00
393,2,Stamping,66,false,2025-06-22 00:00:00
394,5,Quality Inspection,56,false,2025-08-07 00:00:00
395,6,Final Assembly,120,false,2025-03-07 00:00:00
396,8,Quality Inspection,104,false,2025-04-28 00:00:00
397,7,Quality Inspection,18,false,2025-08-20 00:00:00
398,6,Welding,72,false,2025-04-27 00:00:00
399,2,Welding,103,false,2025-05-03 00:00:00
400,1,Quality Inspection,65,false,2025-11-12 00:00:00
401,3,Final Assembly,28,true,2025-01-11 00:00:00
402,2,Drive Unit Install,55,false,2025-05-25 00:00:00
403,11,Welding,60,false,2025-07-20 00:00:00
404,6,Battery Integration,92,false,2026-03-08 00:00:00
405,11,Welding,34,false,2025-04-22 00:00:00
406,4,Quality Inspection,78,false,2025-06-28 00:00:00
407,6,Battery Integration,73,false,2025-12-15 00:00:00
408,7,Battery Integration,72,false,2025-07-07 00:00:00
409,1,Drive Unit Install,16,false,2025-09-13 00:00:00
410,7,Battery Integration,58,false,2025-09-29 00:00:00
411,2,Quality Inspection,114,false,2025-08-08 00:00:00
412,7,Drive Unit Install,82,false,2025-08-23 00:00:00
413,8,Battery Integration,57,false,2026-04-17 00:00:00
414,3,Stamping,30,false,2025-07-23 00:00:00
415,5,Stamping,63,false,2025-03-13 00:00:00
416,10,Painting,81,false,2025-10-16 00:00:00
417,7,Final Assembly,118,false,2026-01-13 00:00:00
418,7,Quality Inspection,55,false,2026-03-07 00:00:00
419,6,Drive Unit Install,53,false,2025-07-10 00:00:00
420,9,Stamping,101,false,2025-12-09 00:00:00
421,5,Stamping,61,false,2026-02-10 00:00:00
422,1,Drive Unit Install,74,false,2025-04-11 00:00:00
423,3,Painting,53,false,2025-04-10 00:00:00
424,1,Welding,17,false,2025-08-31 00:00:00
425,10,Final Assembly,120,false,2026-04-23 00:00:00
426,10,Stamping,118,false,2025-12-31 00:00:00
427,2,Quality Inspection,117,false,2025-11-05 00:00:00
428,1,Painting,91,false,2025-05-25 00:00:00
429,2,Quality Inspection,77,false,2025-08-09 00:00:00
430,3,Stamping,54,false,2025-08-15 00:00:00
431,11,Welding,47,false,2025-01-05 00:00:00
432,3,Welding,71,false,2025-04-18 00:00:00
433,4,Painting,60,false,2026-03-16 00:00:00
434,2,Welding,26,false,2026-03-17 00:00:00
435,1,Quality Inspection,44,false,2025-05-10 00:00:00
436,9,Final Assembly,63,false,2025-07-24 00:00:00
437,2,Painting,74,false,2025-11-12 00:00:00
438,7,Drive Unit Install,59,false,2025-03-18 00:00:00
439,5,Welding,49,false,2025-12-04 00:00:00
440,9,Welding,59,false,2025-02-14 00:00:00
441,6,Drive Unit Install,20,false,2026-03-19 00:00:00
442,6,Welding,107,false,2026-04-14 00:00:00
443,2,Drive Unit Install,19,false,2025-01-29 00:00:00
444,7,Drive Unit Install,17,false,2026-01-11 00:00:00
445,1,Painting,114,false,2025-12-28 00:00:00
446,6,Battery Integration,50,false,2025-07-16 00:00:00
447,11,Battery Integration,112,false,2025-08-24 00:00:00
448,9,Welding,98,false,2025-05-06 00:00:00
449,6,Final Assembly,62,false,2026-04-17 00:00:00
450,2,Drive Unit Install,82,false,2025-03-02 00:00:00
451,8,Drive Unit Install,105,false,2025-05-27 00:00:00
452,6,Quality Inspection,118,false,2025-04-13 00:00:00
453,3,Quality Inspection,46,false,2025-03-15 00:00:00
454,7,Quality Inspection,19,false,2025-01-15 00:00:00
455,4,Quality Inspection,51,false,2025-11-26 00:00:00
456,1,Drive Unit Install,71,false,2026-03-20 00:00:00
457,7,Battery Integration,104,false,2025-05-09 00:00:00
458,2,Welding,67,false,2025-03-03 00:00:00
459,11,Drive Unit Install,73,false,2025-09-29 00:00:00
460,8,Battery Integration,84,false,2025-08-23 00:00:00
461,3,Quality Inspection,63,false,2026-01-04 00:00:00
462,6,Drive Unit Install,48,false,2025-09-12 00:00:00
463,9,Stamping,30,false,2025-05-23 00:00:00
464,7,Final Assembly,80,false,2025-04-10 00:00:00
465,6,Final Assembly,22,false,2025-06-30 00:00:00
466,9,Welding,73,false,2025-05-23 00:00:00
467,6,Painting,87,false,2025-04-01 00:00:00
468,5,Painting,99,false,2025-08-08 00:00:00
469,2,Final Assembly,25,false,2025-10-02 00:00:00
470,2,Final Assembly,56,false,2025-11-15 00:00:00
471,7,Stamping,80,false,2025-06-29 00:00:00
472,7,Welding,36,false,2026-04-22 00:00:00
473,3,Painting,32,false,2025-02-27 00:00:00
474,8,Stamping,70,false,2025-10-26 00:00:00
475,5,Welding,73,false,2025-01-02 00:00:00
476,6,Battery Integration,59,false,2025-03-01 00:00:00
477,6,Welding,53,false,2025-08-01 00:00:00
478,2,Quality Inspection,78,false,2025-04-18 00:00:00
479,4,Stamping,31,false,2025-11-11 00:00:00
480,10,Welding,48,false,2025-07-22 00:00:00
481,11,Final Assembly,108,false,2025-07-12 00:00:00
482,4,Quality Inspection,21,false,2025-06-20 00:00:00
483,3,Battery Integration,24,false,2025-11-20 00:00:00
484,4,Drive Unit Install,35,false,2025-07-22 00:00:00
485,9,Painting,24,false,2025-11-01 00:00:00
486,2,Battery Integration,31,false,2025-05-24 00:00:00
487,2,Painting,31,false,2025-03-04 00:00:00
488,6,Stamping,106,false,2025-05-28 00:00:00
489,3,Painting,69,false,2025-02-08 00:00:00
490,6,Quality Inspection,120,false,2026-01-10 00:00:00
491,6,Battery Integration,56,false,2025-03-28 00:00:00
492,9,Painting,24,false,2025-09-30 00:00:00
493,5,Drive Unit Install,20,false,2025-12-14 00:00:00
494,7,Final Assembly,39,false,2025-10-27 00:00:00
495,3,Quality Inspection,59,false,2026-02-11 00:00:00
496,4,Quality Inspection,104,false,2025-02-28 00:00:00
497,7,Battery Integration,100,false,2026-03-10 00:00:00
498,4,Quality Inspection,48,false,2025-01-27 00:00:00
499,1,Final Assembly,23,false,2025-04-04 00:00:00
500,5,Painting,36,false,2026-04-05 00:00:00
501,4,Welding,93,false,2025-04-15 00:00:00
502,2,Stamping,32,false,2025-07-27 00:00:00
503,11,Final Assembly,48,false,2026-04-02 00:00:00
504,10,Stamping,107,false,2025-04-06 00:00:00
505,11,Quality Inspection,58,false,2025-08-18 00:00:00
506,2,Welding,115,false,2025-04-04 00:00:00
507,10,Welding,75,false,2025-03-26 00:00:00
508,11,Drive Unit Install,73,false,2025-07-20 00:00:00
509,1,Battery Integration,105,false,2026-04-10 00:00:00
