id,flight_number,carrier,origin,destination,destination_country,price
70,BR631,British Airways,HND,KIX,Japan,604.49
71,LU593,Lufthansa,DFW,LAX,United States,306.09
72,AI727,Air Canada,JFK,CDG,France,825.57
73,AM617,American Airlines,LHR,YVR,Canada,1062.89
74,UN869,United Airlines,LHR,DXB,United Arab Emirates,402.94
75,AI151,Air France,HND,VCE,Italy,728.02
76,EM512,Emirates,SFO,HND,Japan,632.05
77,QA558,Qantas,LAX,YVR,Canada,619.42
78,UN609,United Airlines,JFK,KIX,Japan,573.61
79,DE670,Delta Air Lines,HND,CDG,France,1017.20
80,QA733,Qantas,ATL,CUN,Mexico,740.45
81,JA449,Japan Airlines,DFW,NCE,France,1007.42
82,JA439,Japan Airlines,HND,YVR,Canada,902.49
83,BR833,British Airways,LHR,KIX,Japan,252.31
84,LU102,Lufthansa,DFW,JFK,United States,1021.38
85,AI660,Air France,HND,JFK,United States,887.20
86,DE268,Delta Air Lines,LHR,SFO,United States,262.31
87,QA300,Qantas,SFO,KIX,Japan,1126.73
88,EM320,Emirates,LHR,FCO,Italy,902.63
89,UN875,United Airlines,DEN,NCE,France,1122.96
90,QA226,Qantas,LHR,YYZ,Canada,841.38
91,AI237,Air Canada,LHR,CDG,France,706.88
92,DE666,Delta Air Lines,DEN,MEL,Australia,657.08
93,AI899,Air Canada,ORD,MEL,Australia,332.33
94,AM206,American Airlines,DEN,DXB,United Arab Emirates,679.32
95,EM528,Emirates,CDG,VCE,Italy,437.28
96,BR401,British Airways,LHR,SFO,United States,782.65
97,AI406,Air Canada,HND,DXB,United Arab Emirates,897.47
98,AI747,Air Canada,SFO,FCO,Italy,370.20
99,AI803,Air France,DFW,LHR,United Kingdom,1180.40
100,AM615,American Airlines,HND,DXB,United Arab Emirates,895.87
101,BR675,British Airways,LHR,MEL,Australia,749.17
102,EM790,Emirates,HND,MUC,Germany,1071.35
103,EM927,Emirates,JFK,CUN,Mexico,261.79
104,EM248,Emirates,JFK,NCE,France,359.90
105,AM393,American Airlines,ATL,LHR,United Kingdom,1031.35
106,AI308,Air France,HND,NCE,France,526.62
107,JA204,Japan Airlines,CDG,SYD,Australia,1058.08
108,AI498,Air Canada,SFO,CUN,Mexico,973.52
109,AI809,Air France,JFK,LAX,United States,556.93
110,BR665,British Airways,JFK,CDG,France,930.85
111,LU735,Lufthansa,LHR,VCE,Italy,1107.06
112,BR873,British Airways,CDG,SYD,Australia,925.37
113,LU894,Lufthansa,SFO,MUC,Germany,621.26
114,UN291,United Airlines,ORD,CUN,Mexico,275.32
115,DE538,Delta Air Lines,ATL,SYD,Australia,427.45
116,AM698,American Airlines,ATL,CDG,France,497.09
117,AM140,American Airlines,ORD,DXB,United Arab Emirates,776.72
118,QA963,Qantas,ATL,YVR,Canada,979.40
119,AI466,Air Canada,LAX,DXB,United Arab Emirates,701.66
120,AM633,American Airlines,LAX,CUN,Mexico,317.34
121,AI649,Air Canada,DEN,HND,Japan,516.87
122,LU779,Lufthansa,DFW,DXB,United Arab Emirates,528.84
123,LU870,Lufthansa,CDG,CUN,Mexico,648.60
124,AI943,Air Canada,JFK,KIX,Japan,852.39
125,JA346,Japan Airlines,CDG,VCE,Italy,1156.84
126,BR490,British Airways,LAX,BER,Germany,717.25
127,AI125,Air France,HND,JFK,United States,690.02
128,AI556,Air Canada,LHR,NCE,France,461.26
129,LU428,Lufthansa,HND,KIX,Japan,325.76
130,AI646,Air Canada,JFK,HND,Japan,371.32
131,LU985,Lufthansa,DEN,KIX,Japan,365.86
132,EM762,Emirates,LAX,LHR,United Kingdom,174.94
133,BR138,British Airways,LAX,HND,Japan,206.98
134,AI671,Air France,LAX,MEL,Australia,1012.70
135,AI517,Air France,DEN,YYZ,Canada,811.73
136,EM423,Emirates,JFK,LAX,United States,856.96
137,AI106,Air Canada,CDG,HND,Japan,943.76
138,QA146,Qantas,LAX,JFK,United States,1124.45
139,UN396,United Airlines,ATL,HND,Japan,445.59
140,JA490,Japan Airlines,DEN,CDG,France,647.69
141,AI325,Air Canada,ORD,LAX,United States,986.61
142,AI402,Air Canada,ORD,MUC,Germany,861.15
143,BR111,British Airways,HND,SYD,Australia,298.44
144,DE105,Delta Air Lines,CDG,LAX,United States,714.01
145,UN412,United Airlines,SFO,JFK,United States,372.32
146,AI245,Air Canada,ORD,EDI,United Kingdom,381.83
147,AI298,Air France,LAX,EDI,United Kingdom,854.53
148,QA972,Qantas,JFK,SYD,Australia,634.33
149,AI174,Air Canada,ATL,HND,Japan,413.22
150,LU843,Lufthansa,CDG,YVR,Canada,1149.12
151,BR231,British Airways,SFO,KIX,Japan,449.39
152,UN298,United Airlines,DFW,YVR,Canada,623.18
153,QA775,Qantas,ATL,MEL,Australia,310.01
154,QA473,Qantas,DFW,SFO,United States,327.07
155,BR352,British Airways,SFO,BER,Germany,1032.12
156,AM795,American Airlines,DFW,YVR,Canada,635.99
157,BR893,British Airways,ATL,YVR,Canada,729.26
158,AM761,American Airlines,CDG,HND,Japan,1033.88
159,AM651,American Airlines,SFO,BER,Germany,920.22
160,UN844,United Airlines,LAX,CDG,France,1042.07
161,DE932,Delta Air Lines,CDG,MEL,Australia,575.39
162,QA317,Qantas,JFK,SYD,Australia,423.65
163,AI583,Air Canada,ORD,JFK,United States,562.12
164,QA850,Qantas,ATL,LHR,United Kingdom,637.94
165,AI192,Air Canada,DEN,JFK,United States,677.28
166,LU968,Lufthansa,CDG,EDI,United Kingdom,945.07
167,AM556,American Airlines,ORD,EDI,United Kingdom,744.68
168,QA775,Qantas,ORD,YVR,Canada,1136.13
169,DE324,Delta Air Lines,LHR,VCE,Italy,216.00
170,BR339,British Airways,JFK,FCO,Italy,693.78
171,BR497,British Airways,LHR,YYZ,Canada,1075.63
172,DE764,Delta Air Lines,DFW,KIX,Japan,888.92
173,AI748,Air Canada,ATL,BER,Germany,757.56
174,QA278,Qantas,DEN,LAX,United States,533.56
175,UN629,United Airlines,ATL,LAX,United States,1171.31
176,LU628,Lufthansa,DEN,JFK,United States,1008.10
177,BR598,British Airways,LHR,CDG,France,676.93
178,AM550,American Airlines,ORD,VCE,Italy,230.94
179,AI316,Air France,ORD,EDI,United Kingdom,315.23
180,QA834,Qantas,LAX,VCE,Italy,585.34
181,BR837,British Airways,LAX,YVR,Canada,858.99
182,JA315,Japan Airlines,CDG,EDI,United Kingdom,829.62
183,EM122,Emirates,SFO,NCE,France,284.28
184,QA264,Qantas,ORD,CUN,Mexico,191.15
185,QA250,Qantas,JFK,EDI,United Kingdom,421.17
186,AM629,American Airlines,DEN,MEL,Australia,819.50
187,AI187,Air France,SFO,YYZ,Canada,786.85
188,JA988,Japan Airlines,LHR,EDI,United Kingdom,380.33
189,EM715,Emirates,ORD,MEL,Australia,1011.48
190,AM738,American Airlines,HND,BER,Germany,326.11
191,BR564,British Airways,CDG,MEL,Australia,222.29
192,EM494,Emirates,ORD,KIX,Japan,167.39
193,AI980,Air Canada,HND,SFO,United States,1017.84
194,QA198,Qantas,ORD,YVR,Canada,1096.69
195,QA139,Qantas,HND,CUN,Mexico,940.00
196,UN593,United Airlines,ORD,SYD,Australia,1018.90
197,EM634,Emirates,DEN,JFK,United States,1068.57
198,AI539,Air Canada,SFO,YVR,Canada,979.03
199,EM458,Emirates,CDG,MEL,Australia,252.60
200,AM360,American Airlines,LHR,VCE,Italy,1105.59
