id,flight_number,carrier,origin,destination,destination_country,price
96,BR401,British Airways,LHR,SFO,United States,782.65
76,EM512,Emirates,SFO,HND,Japan,632.05
193,AI980,Air Canada,HND,SFO,United States,1017.84
139,UN396,United Airlines,ATL,HND,Japan,445.59
124,AI943,Air Canada,JFK,KIX,Japan,852.39
58,UN971,United Airlines,JFK,CDG,France,1044.60
44,UN526,United Airlines,LHR,LAX,United States,279.77
14,QA825,Qantas,CDG,FCO,Italy,510.33
46,DE408,Delta Air Lines,DEN,KIX,Japan,845.61
52,JA438,Japan Airlines,SFO,CDG,France,163.39
40,AM316,American Airlines,JFK,MEL,Australia,679.87
162,QA317,Qantas,JFK,SYD,Australia,423.65
37,BR544,British Airways,ORD,DXB,United Arab Emirates,1195.95
192,EM494,Emirates,ORD,KIX,Japan,167.39
180,QA834,Qantas,LAX,VCE,Italy,585.34
104,EM248,Emirates,JFK,NCE,France,359.90
87,QA300,Qantas,SFO,KIX,Japan,1126.73
84,LU102,Lufthansa,DFW,JFK,United States,1021.38
168,QA775,Qantas,ORD,YVR,Canada,1136.13
109,AI809,Air France,JFK,LAX,United States,556.93
38,JA467,Japan Airlines,SFO,EDI,United Kingdom,1145.49
190,AM738,American Airlines,HND,BER,Germany,326.11
32,BR875,British Airways,HND,FCO,Italy,168.81
53,UN213,United Airlines,CDG,YVR,Canada,306.60
3,AM762,American Airlines,ORD,CDG,France,384.96
77,QA558,Qantas,LAX,YVR,Canada,619.42
9,BR383,British Airways,DFW,BER,Germany,424.20
158,AM761,American Airlines,CDG,HND,Japan,1033.88
108,AI498,Air Canada,SFO,CUN,Mexico,973.52
88,EM320,Emirates,LHR,FCO,Italy,902.63
120,AM633,American Airlines,LAX,CUN,Mexico,317.34
116,AM698,American Airlines,ATL,CDG,France,497.09
143,BR111,British Airways,HND,SYD,Australia,298.44
160,UN844,United Airlines,LAX,CDG,France,1042.07
146,AI245,Air Canada,ORD,EDI,United Kingdom,381.83
177,BR598,British Airways,LHR,CDG,France,676.93
118,QA963,Qantas,ATL,YVR,Canada,979.40
189,EM715,Emirates,ORD,MEL,Australia,1011.48
31,DE646,Delta Air Lines,SFO,JFK,United States,1147.57
42,AI889,Air France,HND,NCE,France,773.62
35,QA413,Qantas,ORD,HND,Japan,1015.04
147,AI298,Air France,LAX,EDI,United Kingdom,854.53
70,BR631,British Airways,HND,KIX,Japan,604.49
66,BR726,British Airways,JFK,LHR,United Kingdom,657.23
130,AI646,Air Canada,JFK,HND,Japan,371.32
99,AI803,Air France,DFW,LHR,United Kingdom,1180.40
161,DE932,Delta Air Lines,CDG,MEL,Australia,575.39
91,AI237,Air Canada,LHR,CDG,France,706.88
171,BR497,British Airways,LHR,YYZ,Canada,1075.63
133,BR138,British Airways,LAX,HND,Japan,206.98
114,UN291,United Airlines,ORD,CUN,Mexico,275.32
25,BR519,British Airways,CDG,YYZ,Canada,300.39
59,AM436,American Airlines,DFW,YYZ,Canada,1152.84
176,LU628,Lufthansa,DEN,JFK,United States,1008.10
128,AI556,Air Canada,LHR,NCE,France,461.26
144,DE105,Delta Air Lines,CDG,LAX,United States,714.01
73,AM617,American Airlines,LHR,YVR,Canada,1062.89
81,JA449,Japan Airlines,DFW,NCE,France,1007.42
175,UN629,United Airlines,ATL,LAX,United States,1171.31
167,AM556,American Airlines,ORD,EDI,United Kingdom,744.68
194,QA198,Qantas,ORD,YVR,Canada,1096.69
165,AI192,Air Canada,DEN,JFK,United States,677.28
191,BR564,British Airways,CDG,MEL,Australia,222.29
164,QA850,Qantas,ATL,LHR,United Kingdom,637.94
157,BR893,British Airways,ATL,YVR,Canada,729.26
89,UN875,United Airlines,DEN,NCE,France,1122.96
122,LU779,Lufthansa,DFW,DXB,United Arab Emirates,528.84
151,BR231,British Airways,SFO,KIX,Japan,449.39
199,EM458,Emirates,CDG,MEL,Australia,252.60
97,AI406,Air Canada,HND,DXB,United Arab Emirates,897.47
74,UN869,United Airlines,LHR,DXB,United Arab Emirates,402.94
95,EM528,Emirates,CDG,VCE,Italy,437.28
6,JA409,Japan Airlines,HND,LAX,United States,763.71
94,AM206,American Airlines,DEN,DXB,United Arab Emirates,679.32
121,AI649,Air Canada,DEN,HND,Japan,516.87
106,AI308,Air France,HND,NCE,France,526.62
69,AI885,Air Canada,CDG,MEL,Australia,385.18
51,DE661,Delta Air Lines,LHR,FCO,Italy,872.61
83,BR833,British Airways,LHR,KIX,Japan,252.31
43,DE777,Delta Air Lines,LAX,CDG,France,200.65
20,AI530,Air France,DFW,JFK,United States,423.59
188,JA988,Japan Airlines,LHR,EDI,United Kingdom,380.33
45,AI585,Air France,ORD,FCO,Italy,879.95
36,AI397,Air France,LHR,CUN,Mexico,776.19
17,AI285,Air Canada,ATL,KIX,Japan,644.32
85,AI660,Air France,HND,JFK,United States,887.20
21,AI574,Air France,LAX,YVR,Canada,206.36
126,BR490,British Airways,LAX,BER,Germany,717.25
132,EM762,Emirates,LAX,LHR,United Kingdom,174.94
23,LU612,Lufthansa,LAX,CUN,Mexico,463.27
113,LU894,Lufthansa,SFO,MUC,Germany,621.26
141,AI325,Air Canada,ORD,LAX,United States,986.61
174,QA278,Qantas,DEN,LAX,United States,533.56
105,AM393,American Airlines,ATL,LHR,United Kingdom,1031.35
137,AI106,Air Canada,CDG,HND,Japan,943.76
33,DE741,Delta Air Lines,SFO,VCE,Italy,878.20
78,UN609,United Airlines,JFK,KIX,Japan,573.61
